Region_ID,T_Statistic,P_Value,Mean_Diff
"V24 Bayley4,LM_Score_Score_1",-3.678599623785733,0.0016036914948361217,-2.982199058677195e-05
"V24-CVD Bayley4,Fine_Motor_FM_RAW_Score",-3.3908203689294494,0.001833928256775028,-1.141454740772372e-05
15,3.2338171229639516,0.001875893993650459,0.0009121592296809887
84,3.1959689395013924,0.002105594408309657,0.0010797738967289472
31,-3.0163370417135367,0.0036231087148419715,-0.00028529892016997745
4,-3.0227498670263175,0.0036547924189514573,-0.002587895590013465
23,-3.0067151696663657,0.003682151015157185,-0.002483153929191721
"V24 Bayley4,Receptive_Communication_RC_RAW_Score",-3.3516154776335694,0.003719293383398426,-1.5071961371131058e-05
90,2.913924534530848,0.004834093261145173,0.0006065263089696654
16,2.9033593809869283,0.005008006959512078,0.0006830659119050316
11,2.8442886403024397,0.00647770148658954,0.00046368381389815753
46,-2.790573948009407,0.006864069485225945,-0.00044837587636942147
52,2.751947499998079,0.007618733074710258,0.000421935331450463
"V24 demographics,Maternal_age_at_birth",3.0263916343523025,0.007806702939593637,0.00011136574470671219
vol01_mm^3_WM,2.72328814933008,0.008215344484805098,0.006894189976013987
"V24 demographics,Paternal_age_at_birth",2.872102259160852,0.008601360413866369,0.00010597961808546592
13,2.5134352392286123,0.014569486431593354,0.0007669395522082708
"V24 Bayley4,Gross_Motor_GM_RAW_Score",-2.567234033451705,0.023295377715416257,-1.1154070355644049e-05
"V24 Bayley4,Fine_Motor_FM_RAW_Score",-2.543201380054407,0.02366702036541742,-8.774397388363787e-06
61,2.259485226334772,0.027151434538254665,0.0003365071254993078
40,-2.2569276350137337,0.027212196751252502,-0.0003331070971318655
19,-2.215214757469489,0.030283511886872626,-0.001104274208443931
0.1,2.1421223926112014,0.03588058928301853,0.0010212009400074468
87,2.125867125632037,0.0371723162857272,0.00019725665573186034
14,2.0909676732074685,0.04087172455206475,0.000641218022765956
51,2.0324408140917702,0.04609680778303414,0.0004328102117893244
82,2.0012964607544106,0.049474632336041706,0.0006094117035050058
43,1.863776019987627,0.0668533947987848,0.0005475510314375672
44,1.846295816375848,0.06926407321288704,0.0003409659588337502
vol02_mm^3_GM,-1.8057654376356729,0.0753221978974839,-0.008189698111903176
70,1.7292995803113014,0.08888896357523839,0.0005280245942264213
89,1.6588778833758775,0.10171666915309124,0.00031236721051574896
62,1.6309229689265992,0.10764155993291374,0.00019128154021381743
22,1.6082244656078695,0.11287343723714499,0.00010632949118149419
"V24-CVD Bayley4,Gross_Motor_GM_RAW_Score",-1.6307691158764304,0.11335587281268493,-7.753936344498415e-06
67,1.573671249260226,0.12014071549484913,0.0005914820320059751
3,-1.48840470580506,0.14121571240655265,-0.0011287775917359216
"V24-CVD demographics,Paternal_age_at_birth",1.5003192741596323,0.14774490699637252,0.002653289643957272
53,1.4311987039379865,0.1568953034579659,0.000223033377343162
CandID_numeric_y,1.425951768310402,0.15841541641896076,0.10384943654437229
CandID_numeric_x,1.425951768310402,0.15841541641896076,0.10384943654437229
CandID,1.425951768310402,0.15841541641896076,0.10384943654437229
68,-1.4033778762344629,0.16513798110017497,-0.0004777147980520816
12,1.3962462628407981,0.16712761893740102,0.0002368727730605322
54,1.280648944499503,0.2046080812569827,0.00019816791408903533
59,-1.2759314148252288,0.20674686070621934,-0.0003673581063812154
65,-1.2692933360359684,0.20873057865969466,-0.00019246002050677617
"V24 demographics,CandID",1.2850650676168196,0.2106440840130615,0.1555443327289654
88,1.2238550015320824,0.22518820654269564,0.00012663064731677763
21,1.1663712326182272,0.24842233640043462,9.219676027654084e-05
48,1.1243409785567318,0.2653227743431266,0.00019091466421653673
6,-1.0671417516209731,0.2896586776147286,-0.00010214145059487005
80,1.0470028380116423,0.29875331093572377,4.750270080508263e-05
39,1.0449660065235087,0.30097747736322905,0.00026030517465893115
45,1.039875774752661,0.30235702546062243,0.00022085968779992022
50,-1.027092740805576,0.30818236895971934,-8.32332250507886e-05
35,1.0042057004772946,0.3187971512203286,5.518811145962475e-05
79,0.9918198081827436,0.32481296767559076,5.1881873616694326e-05
26,-0.9084445678609041,0.3668657250690064,-0.00010703446061454845
58,0.8704283132622769,0.3874448129968797,0.00042307763671662994
1,0.7739794510333209,0.44172330689844974,0.00036948766254368305
32,-0.7101054547100267,0.48003930305573106,-0.00011014562841328286
24,-0.685520621433297,0.4954937639826581,-0.00039653079958439433
60,-0.6825936823058777,0.4972828565323858,-0.00019446339363607488
57,0.6794563170172134,0.49914056489965497,0.0003837322682741628
69,-0.6483443819891942,0.5189848613119762,-0.0002840707608735256
33,-0.6375492651998921,0.5262212541628833,-7.062577918503263e-05
49,-0.5955126405864568,0.5534567618350137,-5.510238596476841e-05
"V24-CVD demographics,CandID",0.4696159436802614,0.6410311955169695,0.043893740505989154
63,0.4589388049222001,0.6477763202630924,6.249732873237455e-05
64,-0.4339989836694468,0.6656845115057858,-7.463046215897299e-05
10,-0.41983015379317995,0.675918808834402,-6.040009321342434e-05
8,-0.41924500446707974,0.6763422375362882,-0.0004382651482756298
7,-0.4060243453353854,0.6859817063407871,-0.00034907629117330793
9,0.37004607045210564,0.7125034895672833,4.0962511509794446e-05
20,0.32168857290185593,0.7486632654233751,0.00014807118734496468
27,0.2873825604715299,0.774722022774766,3.4478925085678746e-05
2,-0.21585013351063323,0.8297422028738598,-0.00010686208141580042
vol04_mm^3_TBV,-0.20249743760222633,0.8401237744786241,-0.0012955081358891896
vol03_mm^3_CSF,0.20249743760222197,0.8401237744786274,0.0012955081358891618
28,0.13259738847974173,0.8949033326079878,1.4864593982086456e-05
34,0.036389203110096385,0.9710777224193181,4.410579288316148e-06
5,0.01976715027211253,0.9842868925644639,1.917643886074384e-06
36,0.011732852991726979,0.9906726106832193,4.372754740209774e-07
66,-0.008065671936924796,0.9935916616689044,-1.0990176519728306e-06
"V24 demographics,age_today",0.005109701369114463,0.9959636281661792,1.5386113622376744e-08
Left,,,
Attribute,,,
Right,,,
Attribute.1,,,
Identifiers,,,
"V24-CVD Bayley4,Birth_Date",,,
"V24 Bayley4,Birth_Date",,,
"V24-CVD Bayley4,CL_Score_Base_rate",,,
"V24 Bayley4,CL_Score_Base_rate",,,
"V24-CVD Bayley4,CM_Score_Base_rate",,,
"V24 Bayley4,CM_Score_Base_rate",,,
"V24-CVD Bayley4,Expressive_Communication_EC_Age_Equivalent",,,
"V24 Bayley4,Expressive_Communication_EC_Age_Equivalent",,,
"V24-CVD Bayley4,Fine_Motor_FM_Age_Equivalent",,,
"V24 Bayley4,Fine_Motor_FM_Age_Equivalent",,,
"V24-CVD Bayley4,Gross_Motor_GM_Age_Equivalent",,,
"V24 Bayley4,Gross_Motor_GM_Age_Equivalent",,,
"V24-CVD Bayley4,LM_Score_Base_rate",,,
"V24 Bayley4,LM_Score_Base_rate",,,
"V24-CVD Bayley4,RC_EC_Base_rate",,,
"V24 Bayley4,RC_EC_Base_rate",,,
"V24-CVD Bayley4,Receptive_Communication_RC_Age_Equivalent",,,
"V24 Bayley4,Receptive_Communication_RC_Age_Equivalent",,,
ASD_Ever_DSM_IV,,,
"V24-CVD demographics,ASD_Ever_DSMIV",,,
"V24 demographics,ASD_Ever_DSMIV",,,
ASD_Ever_DSM_V,,,
"V24-CVD demographics,ASD_Ever_DSMV",,,
"V24 demographics,ASD_Ever_DSMV",,,
"V24-CVD demographics,ASD_Latest_DSMIV",,,
"V24 demographics,ASD_Latest_DSMIV",,,
"V24-CVD demographics,ASD_Latest_DSMV",,,
"V24 demographics,ASD_Latest_DSMV",,,
Identifiers.1,,,
Cohort,,,
"V24-CVD demographics,Cohort",,,
"V24 demographics,Cohort",,,
"V24-CVD demographics,DoB",,,
"V24 demographics,DoB",,,
"V24-CVD demographics,Maternal_education",,,
"V24 demographics,Maternal_education",,,
"V24-CVD demographics,Maternal_ethnicity",,,
"V24 demographics,Maternal_ethnicity",,,
"V24-CVD demographics,Maternal_race",,,
"V24 demographics,Maternal_race",,,
"V24-CVD demographics,Paternal_education",,,
"V24 demographics,Paternal_education",,,
"V24-CVD demographics,Paternal_ethnicity",,,
"V24 demographics,Paternal_ethnicity",,,
"V24-CVD demographics,Paternal_race",,,
"V24 demographics,Paternal_race",,,
"V24-CVD demographics,Risk",,,
"V24 demographics,Risk",,,
"V24-CVD demographics,Sex",,,
"V24 demographics,Sex",,,
"V24-CVD demographics,Site",,,
"V24 demographics,Site",,,
"V24-CVD demographics,Status",,,
"V24 demographics,Status",,,
"V24-CVD demographics,Status_comments",,,
"V24 demographics,Status_comments",,,
"V24-CVD demographics,Visit_date",,,
"V24 demographics,Visit_date",,,
"V24-CVD demographics,Visit_label",,,
"V24 demographics,Visit_label",,,
"V24-CVD demographics,age_at_scan",,,
"V24 demographics,age_at_scan",,,
"V24-CVD demographics,candidate_ethnicity",,,
"V24 demographics,candidate_ethnicity",,,
"V24-CVD demographics,candidate_race",,,
"V24 demographics,candidate_race",,,
"V24-CVD demographics,income",,,
"V24 demographics,income",,,
CandID_Visit,,,
vol05_mm^3_ICV_x,,,0.0
vol05_mm^3_ICV_y,,,0.0
