Region,Score_Raw,Score_ICV_Ratio,Score_TBV_Ratio
Left_85,0.31136748265595343,1.2286345039841182,1.1216217367223789
Right_86,0.29052324209833286,1.1122166044456117,1.036862355804658
Right_56,0.5141992101423803,1.087199726881983,1.0656438699782154
Left_29,0.2911620044330729,1.0845771453278599,1.0018148590563793
Right_30,0.22902122559614083,1.0022351614430194,0.929297174605953
Right_18,0.2454671345171006,0.9935006502860928,0.9176161392159895
Left_83,0.2080134803833614,0.94927470309651,0.8691281288435907
Left_47,0.3485501276791491,0.9450202669833396,0.9366388502776326
Left_81,-0.01770744222130384,0.9088428169220493,0.8335694153932939
Left_0,-0.3470673116911149,0.9082186978269418,0.8206177851110786
Left_55,0.2502342169337168,0.8883966563889812,0.8537570933174641
Left_17,0.29072145770889757,0.8522833226482308,0.8216308817986848
Left_25,-1.0514893945774426,-0.8048213224771923,-0.7675123390574677
Left_15,0.09044638434455923,0.7676228432383109,0.7008590313520454
Right_84,0.017743358572735415,0.7588940374824498,0.6876886656389977
Right_4,-0.9714313153417836,-0.7294447485161136,-0.6782053785322738
Left_31,-0.9915204171168496,-0.71948401982216,-0.682118958926997
Left_11,0.1587852645002571,0.7184627224228431,0.6784224903071575
Left_23,-0.9551820518669247,-0.7137062633695885,-0.6638880412974603
Right_90,-0.16391794447065988,0.6934042231136258,0.6840945271924742
Right_16,-0.05400415061750116,0.6925965120826962,0.6205122097137906
Right_46,-1.3398741403339924,-0.6657490182830603,-0.6329173811069708
Right_52,-0.06303459885955842,0.6559094797884186,0.6520173297310132
Left_13,0.12224126633013319,0.6055440490843484,0.5738037909420143
Left_61,0.0018451616225338668,0.539232270584882,0.5057066933466974
Right_40,-0.9646643032673845,-0.5363297386250475,-0.515251428441005
Left_19,-0.8207676146396737,-0.5305768498185838,-0.484720428253825
Right_0.1,-0.6400969214720652,0.511469556753794,0.4837544390297588
Right_14,0.07161486415930905,0.5082792329099028,0.4870106909571013
Left_87,0.012087065407568312,0.5059538639928128,0.4889060900795241
Left_51,-0.2220344893907031,0.48459030671339903,0.5208346519408904
Right_82,-0.30686341111282056,0.4777883384977711,0.4563234054613217
Left_43,-0.011707077650177783,0.44566077400387816,0.4427032903797462
Right_44,-0.17095144656364636,0.43983847234031526,0.4547521099124814
Right_70,0.05279345008256512,0.4186633935608077,0.40692197847927775
Left_89,-0.4505886503589541,0.3941525920320873,0.3829313139141903
Right_62,0.01948553021534149,0.38905513019587434,0.3886734427915303
Right_22,-0.24430446102871345,0.387514687582301,0.383052136988758
Left_67,-0.271288257572315,0.37355030414200413,0.36651730403381066
Left_3,-0.6680394798668863,-0.3534277915557887,-0.32320762317862006
Left_53,-0.1514274979491552,0.33978325483336486,0.3652641286628165
Right_68,-0.8845229445167967,-0.3345039337677083,-0.3146569763608641
Right_12,-0.14388067572916668,0.33151549878248476,0.3090148729214308
Left_59,-0.7295404825103823,-0.30746187478860754,-0.2721352387531884
Right_54,-0.335740920912294,0.3039958059176423,0.3281850953833865
Left_65,-0.8327254380351788,-0.3024293732743284,-0.28225200530501854
Right_88,-0.19313624714671918,0.29065043077591896,0.28220604947182504
Left_21,-0.3722782931132108,0.28608097831328677,0.300700708026825
Right_48,-0.1871771981548034,0.27204222878509515,0.2882254427198617
Left_39,-0.18874469851778997,0.2614385174913147,0.26679432066546704
Right_6,-0.9383229740894935,-0.2535582566375383,-0.2239344771931436
Left_45,-0.31242678215768355,0.24977077385670826,0.2572150950374394
Right_80,-0.3814649333956434,0.24852348737533425,0.2595734355616103
Right_50,-0.7148159873739932,-0.2457145764406427,-0.22032698312851387
Left_35,-0.040003112331287956,0.23843233974158004,0.23824335453248116
Left_79,-0.3039178793185129,0.2359523155259755,0.2380344908820636
Right_26,-0.5828880790619607,-0.2161404693828323,-0.21295619678596583
Right_58,-0.31752910021266056,0.20989572237433649,0.1990990466991272
Left_1,-0.2963449142984086,0.1849345175096832,0.17961772723090072
Right_32,-0.5256962186430603,-0.16861294723330933,-0.17426618393993978
Right_24,-0.5626717112015687,-0.16437169884608774,-0.15912588653304335
Right_60,-0.6657814900455508,-0.16324825758024714,-0.12999785536751046
Left_57,-0.34008085222162243,0.1614420528569913,0.15168671738061149
Left_33,-0.47645117404772674,-0.15469527686414478,-0.1340957131075237
Left_69,-0.5082369548600136,-0.15453695910955292,-0.1343548157549006
Left_49,-0.535675050939535,-0.1414170305803301,-0.12244818110663136
Left_63,-0.4262981540107144,0.109472365132206,0.11565706849453292
Right_64,-0.5648418561571777,-0.10341422408906767,-0.08093095775383861
Right_10,-0.5738618025887772,-0.09969676262009505,-0.09078594009722181
Right_8,-0.459874002851214,-0.09953676772500424,-0.08807819589318593
Left_7,-0.5002425614151979,-0.09637752968918507,-0.08520821944472583
Left_9,-0.45667073759693394,0.08804883425435855,0.09094294477183439
Right_20,-0.3421714955938046,0.07637605943888395,0.07261535128081446
Left_27,-0.49175670431510243,0.06863337336987338,0.07208490808694226
Right_2,-0.5314266517669641,-0.05124182597278076,-0.045521540963702305
Right_28,-0.6311669560390053,0.03153095448375301,0.027967059748956104
Right_34,-0.3477725385548185,0.008643603709772135,0.0035814619932019284
Left_5,-0.861597805966045,0.004699241072286237,0.019679054381708586
Right_36,-0.27234659650838206,0.002784867172307115,0.0025434937735148875
Right_66,-0.5535783331399456,-0.001956975892834825,0.021328514789145218
